Annual Severe Drought Likelihood - (Probability), Year, Model, Statistics, ISO3
0.19803, 2020-2039, bcc_csm1_1_m, Annual Anomaly, PRT
0.18237, 2020-2039, bcc_csm1_1, Annual Anomaly, PRT
0.21155, 2020-2039, ccsm4, Annual Anomaly, PRT
0.04265, 2020-2039, cesm1_cam5, Annual Anomaly, PRT
0.04645, 2020-2039, csiro_mk3_6_0, Annual Anomaly, PRT
0.62707, 2020-2039, gfdl_cm3, Annual Anomaly, PRT
0.16985, 2020-2039, gfdl_esm2g, Annual Anomaly, PRT
0.0676, 2020-2039, gfdl_esm2m, Annual Anomaly, PRT
0.04544, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, PRT
2.0E-5, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, PRT
0.03714, 2020-2039, miroc5, Annual Anomaly, PRT
0.2273, 2020-2039, miroc_esm_chem, Annual Anomaly, PRT
0.22887, 2020-2039, miroc_esm, Annual Anomaly, PRT
0.3235, 2020-2039, mri_cgcm3, Annual Anomaly, PRT
0.22097, 2020-2039, noresm1_m, Annual Anomaly, PRT
-0.0342, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, PRT
0.12414, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, PRT
0.45064, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, PRT
