Rainfall - (MM), Year, Statistics, Country, ISO3
72.7, 1991, Jan Average, Portugal, PRT
123.8, 1991, Feb Average, Portugal, PRT
134.1, 1991, Mar Average, Portugal, PRT
35.7, 1991, Apr Average, Portugal, PRT
7.3, 1991, May Average, Portugal, PRT
17.3, 1991, Jun Average, Portugal, PRT
9.6, 1991, Jul Average, Portugal, PRT
7.7, 1991, Aug Average, Portugal, PRT
43.1, 1991, Sep Average, Portugal, PRT
76.4, 1991, Oct Average, Portugal, PRT
63.0, 1991, Nov Average, Portugal, PRT
53.1, 1991, Dec Average, Portugal, PRT
45.3, 1992, Jan Average, Portugal, PRT
30.4, 1992, Feb Average, Portugal, PRT
30.1, 1992, Mar Average, Portugal, PRT
67.4, 1992, Apr Average, Portugal, PRT
53.8, 1992, May Average, Portugal, PRT
49.6, 1992, Jun Average, Portugal, PRT
2.1, 1992, Jul Average, Portugal, PRT
30.9, 1992, Aug Average, Portugal, PRT
37.7, 1992, Sep Average, Portugal, PRT
98.9, 1992, Oct Average, Portugal, PRT
22.2, 1992, Nov Average, Portugal, PRT
116.8, 1992, Dec Average, Portugal, PRT
31.1, 1993, Jan Average, Portugal, PRT
33.2, 1993, Feb Average, Portugal, PRT
58.4, 1993, Mar Average, Portugal, PRT
91.5, 1993, Apr Average, Portugal, PRT
120.4, 1993, May Average, Portugal, PRT
42.8, 1993, Jun Average, Portugal, PRT
2.2, 1993, Jul Average, Portugal, PRT
11.3, 1993, Aug Average, Portugal, PRT
75.1, 1993, Sep Average, Portugal, PRT
201.2, 1993, Oct Average, Portugal, PRT
122.4, 1993, Nov Average, Portugal, PRT
28.0, 1993, Dec Average, Portugal, PRT
107.1, 1994, Jan Average, Portugal, PRT
122.9, 1994, Feb Average, Portugal, PRT
16.6, 1994, Mar Average, Portugal, PRT
34.3, 1994, Apr Average, Portugal, PRT
136.1, 1994, May Average, Portugal, PRT
10.2, 1994, Jun Average, Portugal, PRT
6.7, 1994, Jul Average, Portugal, PRT
10.9, 1994, Aug Average, Portugal, PRT
21.6, 1994, Sep Average, Portugal, PRT
82.6, 1994, Oct Average, Portugal, PRT
91.1, 1994, Nov Average, Portugal, PRT
57.0, 1994, Dec Average, Portugal, PRT
78.0, 1995, Jan Average, Portugal, PRT
92.7, 1995, Feb Average, Portugal, PRT
32.0, 1995, Mar Average, Portugal, PRT
32.5, 1995, Apr Average, Portugal, PRT
39.8, 1995, May Average, Portugal, PRT
23.3, 1995, Jun Average, Portugal, PRT
15.3, 1995, Jul Average, Portugal, PRT
2.6, 1995, Aug Average, Portugal, PRT
42.6, 1995, Sep Average, Portugal, PRT
32.5, 1995, Oct Average, Portugal, PRT
158.3, 1995, Nov Average, Portugal, PRT
252.9, 1995, Dec Average, Portugal, PRT
316.9, 1996, Jan Average, Portugal, PRT
94.9, 1996, Feb Average, Portugal, PRT
84.9, 1996, Mar Average, Portugal, PRT
50.3, 1996, Apr Average, Portugal, PRT
121.4, 1996, May Average, Portugal, PRT
9.1, 1996, Jun Average, Portugal, PRT
8.3, 1996, Jul Average, Portugal, PRT
9.3, 1996, Aug Average, Portugal, PRT
61.2, 1996, Sep Average, Portugal, PRT
51.3, 1996, Oct Average, Portugal, PRT
87.5, 1996, Nov Average, Portugal, PRT
261.2, 1996, Dec Average, Portugal, PRT
157.5, 1997, Jan Average, Portugal, PRT
12.5, 1997, Feb Average, Portugal, PRT
0.4, 1997, Mar Average, Portugal, PRT
39.2, 1997, Apr Average, Portugal, PRT
113.0, 1997, May Average, Portugal, PRT
60.3, 1997, Jun Average, Portugal, PRT
23.7, 1997, Jul Average, Portugal, PRT
25.9, 1997, Aug Average, Portugal, PRT
31.6, 1997, Sep Average, Portugal, PRT
123.9, 1997, Oct Average, Portugal, PRT
295.3, 1997, Nov Average, Portugal, PRT
176.6, 1997, Dec Average, Portugal, PRT
77.2, 1998, Jan Average, Portugal, PRT
71.5, 1998, Feb Average, Portugal, PRT
30.5, 1998, Mar Average, Portugal, PRT
95.4, 1998, Apr Average, Portugal, PRT
107.1, 1998, May Average, Portugal, PRT
23.5, 1998, Jun Average, Portugal, PRT
4.7, 1998, Jul Average, Portugal, PRT
3.8, 1998, Aug Average, Portugal, PRT
93.3, 1998, Sep Average, Portugal, PRT
25.5, 1998, Oct Average, Portugal, PRT
38.3, 1998, Nov Average, Portugal, PRT
58.5, 1998, Dec Average, Portugal, PRT
81.5, 1999, Jan Average, Portugal, PRT
20.3, 1999, Feb Average, Portugal, PRT
85.3, 1999, Mar Average, Portugal, PRT
58.0, 1999, Apr Average, Portugal, PRT
67.4, 1999, May Average, Portugal, PRT
8.7, 1999, Jun Average, Portugal, PRT
9.1, 1999, Jul Average, Portugal, PRT
26.8, 1999, Aug Average, Portugal, PRT
110.7, 1999, Sep Average, Portugal, PRT
205.6, 1999, Oct Average, Portugal, PRT
32.3, 1999, Nov Average, Portugal, PRT
77.2, 1999, Dec Average, Portugal, PRT
24.0, 2000, Jan Average, Portugal, PRT
21.5, 2000, Feb Average, Portugal, PRT
32.1, 2000, Mar Average, Portugal, PRT
180.2, 2000, Apr Average, Portugal, PRT
92.5, 2000, May Average, Portugal, PRT
7.4, 2000, Jun Average, Portugal, PRT
17.1, 2000, Jul Average, Portugal, PRT
7.8, 2000, Aug Average, Portugal, PRT
29.7, 2000, Sep Average, Portugal, PRT
65.9, 2000, Oct Average, Portugal, PRT
175.0, 2000, Nov Average, Portugal, PRT
279.2, 2000, Dec Average, Portugal, PRT
217.0, 2001, Jan Average, Portugal, PRT
106.0, 2001, Feb Average, Portugal, PRT
168.3, 2001, Mar Average, Portugal, PRT
16.8, 2001, Apr Average, Portugal, PRT
55.9, 2001, May Average, Portugal, PRT
14.4, 2001, Jun Average, Portugal, PRT
17.2, 2001, Jul Average, Portugal, PRT
7.8, 2001, Aug Average, Portugal, PRT
50.5, 2001, Sep Average, Portugal, PRT
144.7, 2001, Oct Average, Portugal, PRT
36.6, 2001, Nov Average, Portugal, PRT
43.1, 2001, Dec Average, Portugal, PRT
92.7, 2002, Jan Average, Portugal, PRT
37.3, 2002, Feb Average, Portugal, PRT
113.2, 2002, Mar Average, Portugal, PRT
55.8, 2002, Apr Average, Portugal, PRT
54.1, 2002, May Average, Portugal, PRT
22.8, 2002, Jun Average, Portugal, PRT
3.6, 2002, Jul Average, Portugal, PRT
12.0, 2002, Aug Average, Portugal, PRT
88.4, 2002, Sep Average, Portugal, PRT
110.8, 2002, Oct Average, Portugal, PRT
155.5, 2002, Nov Average, Portugal, PRT
171.9, 2002, Dec Average, Portugal, PRT
130.2, 2003, Jan Average, Portugal, PRT
113.8, 2003, Feb Average, Portugal, PRT
81.9, 2003, Mar Average, Portugal, PRT
107.7, 2003, Apr Average, Portugal, PRT
14.9, 2003, May Average, Portugal, PRT
18.4, 2003, Jun Average, Portugal, PRT
9.8, 2003, Jul Average, Portugal, PRT
14.1, 2003, Aug Average, Portugal, PRT
33.3, 2003, Sep Average, Portugal, PRT
199.8, 2003, Oct Average, Portugal, PRT
126.3, 2003, Nov Average, Portugal, PRT
99.2, 2003, Dec Average, Portugal, PRT
77.2, 2004, Jan Average, Portugal, PRT
88.0, 2004, Feb Average, Portugal, PRT
76.6, 2004, Mar Average, Portugal, PRT
