Temperature - (Celsius), Year, Statistics, Country, ISO3
8.3, 1991, Jan Average, Portugal, PRT
8.1, 1991, Feb Average, Portugal, PRT
11.6, 1991, Mar Average, Portugal, PRT
12.7, 1991, Apr Average, Portugal, PRT
16.7, 1991, May Average, Portugal, PRT
20.4, 1991, Jun Average, Portugal, PRT
23.2, 1991, Jul Average, Portugal, PRT
24.1, 1991, Aug Average, Portugal, PRT
21.4, 1991, Sep Average, Portugal, PRT
14.6, 1991, Oct Average, Portugal, PRT
11.5, 1991, Nov Average, Portugal, PRT
9.6, 1991, Dec Average, Portugal, PRT
7.4, 1992, Jan Average, Portugal, PRT
9.6, 1992, Feb Average, Portugal, PRT
12.4, 1992, Mar Average, Portugal, PRT
14.1, 1992, Apr Average, Portugal, PRT
18.2, 1992, May Average, Portugal, PRT
17.4, 1992, Jun Average, Portugal, PRT
23.1, 1992, Jul Average, Portugal, PRT
23.2, 1992, Aug Average, Portugal, PRT
19.6, 1992, Sep Average, Portugal, PRT
14.4, 1992, Oct Average, Portugal, PRT
12.8, 1992, Nov Average, Portugal, PRT
10.2, 1992, Dec Average, Portugal, PRT
9.0, 1993, Jan Average, Portugal, PRT
9.6, 1993, Feb Average, Portugal, PRT
11.6, 1993, Mar Average, Portugal, PRT
12.6, 1993, Apr Average, Portugal, PRT
14.9, 1993, May Average, Portugal, PRT
19.8, 1993, Jun Average, Portugal, PRT
23.0, 1993, Jul Average, Portugal, PRT
22.3, 1993, Aug Average, Portugal, PRT
18.2, 1993, Sep Average, Portugal, PRT
13.7, 1993, Oct Average, Portugal, PRT
11.0, 1993, Nov Average, Portugal, PRT
9.7, 1993, Dec Average, Portugal, PRT
8.6, 1994, Jan Average, Portugal, PRT
9.3, 1994, Feb Average, Portugal, PRT
13.6, 1994, Mar Average, Portugal, PRT
12.8, 1994, Apr Average, Portugal, PRT
16.0, 1994, May Average, Portugal, PRT
20.6, 1994, Jun Average, Portugal, PRT
22.8, 1994, Jul Average, Portugal, PRT
22.7, 1994, Aug Average, Portugal, PRT
18.8, 1994, Sep Average, Portugal, PRT
16.9, 1994, Oct Average, Portugal, PRT
13.4, 1994, Nov Average, Portugal, PRT
10.4, 1994, Dec Average, Portugal, PRT
9.5, 1995, Jan Average, Portugal, PRT
10.8, 1995, Feb Average, Portugal, PRT
12.4, 1995, Mar Average, Portugal, PRT
14.8, 1995, Apr Average, Portugal, PRT
17.8, 1995, May Average, Portugal, PRT
19.8, 1995, Jun Average, Portugal, PRT
22.9, 1995, Jul Average, Portugal, PRT
23.1, 1995, Aug Average, Portugal, PRT
18.3, 1995, Sep Average, Portugal, PRT
18.3, 1995, Oct Average, Portugal, PRT
13.8, 1995, Nov Average, Portugal, PRT
10.8, 1995, Dec Average, Portugal, PRT
9.6, 1996, Jan Average, Portugal, PRT
8.4, 1996, Feb Average, Portugal, PRT
11.4, 1996, Mar Average, Portugal, PRT
14.2, 1996, Apr Average, Portugal, PRT
15.8, 1996, May Average, Portugal, PRT
21.5, 1996, Jun Average, Portugal, PRT
22.8, 1996, Jul Average, Portugal, PRT
21.2, 1996, Aug Average, Portugal, PRT
18.7, 1996, Sep Average, Portugal, PRT
16.3, 1996, Oct Average, Portugal, PRT
12.2, 1996, Nov Average, Portugal, PRT
9.9, 1996, Dec Average, Portugal, PRT
8.5, 1997, Jan Average, Portugal, PRT
11.3, 1997, Feb Average, Portugal, PRT
14.2, 1997, Mar Average, Portugal, PRT
16.2, 1997, Apr Average, Portugal, PRT
16.5, 1997, May Average, Portugal, PRT
18.5, 1997, Jun Average, Portugal, PRT
21.5, 1997, Jul Average, Portugal, PRT
